#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Protein O-GlcNAcase	Ogoga, hyaluronoglucosaminidase
Smp_059980.1	arginase	Arginase
Smp_060010.1	NSFL1 cofactor p47	P47, NSFL1 cofactor P47, P47 protein, P97
Smp_060030.1	Somatomedin-B and thrombospondin type-1 domain-containing protein	F-spondin
Smp_060070.1	Septin-7	Septin-7
Smp_060080.1	CDC42 small effector protein 2	Wiskott-aldrich syndrome protein WAsp
Smp_060090.1	40S ribosomal protein S12	Growth arrest and DNA-damage-inducible 45 gamma
Smp_060160.1	spef1-like protein	Sperm flagellar protein 1
Smp_060170.1	mRNA export factor	MRNA export factor
Smp_060180.1	Nucleoporin SEH1	Nucleoporin SEH1
Smp_060190.1	Protein canopy 4	Protein (endonuclease)
Smp_060190.2	Protein canopy 4	Protein (endonuclease)
Smp_060210.1	Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	DNA gyrase inhibitor YACG
Smp_060220.1	Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	Protein FDHE homolog
Smp_060240.1	Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	Ring-box protein 1
Smp_060270.1	Protein jagunal homolog 1	M2 protein, BM2 protein chimera
Smp_060290.1	Josephin-2	Putative ataxin-3-like protein
Smp_060420.1	Phosphatidylinositide phosphatase SAC1	Phosphoinositide phosphatase SAC1
Smp_060420.2	Phosphatidylinositide phosphatase SAC1	Phosphoinositide phosphatase SAC1
Smp_060420.3	Phosphatidylinositide phosphatase SAC1	Phosphoinositide phosphatase SAC1
Smp_060480.1	Copine-8	Synaptotagmin-1
Smp_060490.1	serine rich protein	YY1-associated factor 2
Smp_060560.1	T-complex-associated testis-expressed protein 1	TMD-1, tropomodulin TMD-1
Smp_060570.1	UPF0764 protein C16orf89 homolog	Integrin alpha-IIB
Smp_060620.1	7-methylguanosine phosphate-specific 5'-nucleotidase A	7-methylguanosine phosphate-specific 5'-nucleotid
Smp_060660.1	Hypothetical protein	17-hedgehog
Smp_060700.1	AP-1 complex subunit sigma-2	AP-1 complex subunit sigma-3
Smp_060700.2	AP-1 complex subunit sigma-2	AP-1 complex subunit sigma-3
Smp_060750.1	Muscle-specific homeobox protein tinman	Homeobox protein BARH-like 1
Smp_060760.1	Histone H2A	Histone H2A-IV
Smp_060820.1	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial (Fragment)	ATP-citrate synthase
Smp_060860.1	CTTNBP2 N-terminal-like protein	Fibrinogen (alpha chain)
Smp_060900.1	U4/U6 small nuclear ribonucleoprotein Prp3	Haloacid dehalogenase
Smp_060900.2	U4/U6 small nuclear ribonucleoprotein Prp3	Haloacid dehalogenase
Smp_060910.1	Small nuclear ribonucleoprotein F	U6 snRNA-associated SM-like protein LSM6
Smp_060940.1	eIF-2-alpha kinase GCN2	Eukaryotic translation initiation factor 2-alpha
Smp_060950.1	Alpha-soluble NSF attachment protein	Vesicular transport protein SEC17
Smp_061040.1	Maf-like protein Amet_2288	ASMTL, N-acetylserotonin O-methyltransferase-like protei
Smp_061040.2	Maf-like protein Amet_2288	ASMTL, N-acetylserotonin O-methyltransferase-like protei
Smp_061040.3	Maf-like protein Cvib_0777	ASMTL, N-acetylserotonin O-methyltransferase-like protei
Smp_061050.1	Coiled-coil domain-containing protein 13	Death domain-associated protein 6
Smp_061100.1	Uncharacterized protein C2orf61	HEG1, protein HEG homolog 1
Smp_061200.1	60S ribosomal protein L35a	60S ribosomal protein L35A
Smp_061210.1	F-box only protein 47	SKP2 F-BOX, cyclin A/CDK2-associated P19
Smp_061230.1	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	Succinate dehydrogenase flavoprotein subunit
Smp_061250.1	Solute carrier family 25 member 36-A	Mitochondrial uncoupling protein 2
Smp_061300.1	Transcription initiation factor TFIID subunit 6	TAF6
Smp_061310.1	ER membrane protein complex subunit 7	Putative carbohydrate binding protein
Smp_061390.1	Putative ZDHHC-type palmitoyltransferase 5	Transient receptor potential cation channel subfa member 6
Smp_061400.1	Hypothetical protein	Alpha-conotoxin MII
Smp_061480.1	GRIP1-associated protein 1	Hypothetical protein SPY1572
Smp_061500.1	Methyltransferase-like protein	Nicotinamide N-methyltransferase
Smp_061510.1	Nardilysin	Insulysin, insulin-degrading enzyme, insulinase
Smp_061540.1	Putative sodium-coupled neutral amino acid transporter 10	PRGZ
Smp_061560.1	Mitochondrial import inner membrane translocase subunit Tim13-B	Mitochondrial import inner membrane translocase subunit TIM9
Smp_061570.1	Mediator of RNA polymerase II transcription subunit 19	Putative ABC transporter, periplasmic binding Pro amino acid
Smp_061580.1	COX assembly mitochondrial protein homolog	Circumsporozoite (CS) protein
Smp_061590.1	Regulator of nonsense transcripts 1	Regulator of nonsense transcripts 1
Smp_061590.2	Regulator of nonsense transcripts 1	Regulator of nonsense transcripts 1
Smp_061590.3	Regulator of nonsense transcripts 1	Regulator of nonsense transcripts 1
Smp_061650.1	26S proteasome non-ATPase regulatory subunit 11	26S proteasome regulatory complex subunit P42B
Smp_061680.1	RUN and SH3 domain-containing protein 1	RUN and SH3 domain-containing protein 1
Smp_061840.1	RAD50-interacting protein 1	Protein transport protein TIP20
Smp_061840.2	Nucleoporin NUP133	VPS4-associated protein 1
Smp_061840.3	RAD50-interacting protein 1	Protein transport protein TIP20
Smp_061840.4	RAD50-interacting protein 1	Protein transport protein TIP20
Smp_061870.1	Cytochrome b-c1 complex subunit Rieske, mitochondrial	Ubiquinol-cytochrome C reductase iron-sulfur SUBU mitochondrial
Smp_061920.1	UV excision repair protein RAD23 homolog B	HHR23A, UV excision repair protein RAD23 homolog A
Smp_061940.1	Adenylate kinase	Adenylate kinase
Smp_061950.1	U3 small nucleolar ribonucleoprotein	MIL, probable BRIX-domain ribosomal biogenesis protein
Smp_061970.1	GPI ethanolamine phosphate transferase 2	Phosphodiesterase-nucleotide pyrophosphatase
Smp_062020.1	Sterile alpha motif domain-containing protein 15	Stromal interaction molecule 2
Smp_062070.1	Sulfide:quinone oxidoreductase, mitochondrial	FCCB subunit, flavocytochrome C flavin subunit
Smp_062080.1	Serpin B10	Serpin K
Smp_062080.2	Serpin B4	Leukocyte elastase inhibitor
Smp_062080.3	Serpin B4	Horse leukocyte elastase inhibitor
Smp_062120.1	Serpin B8	Leukocyte elastase inhibitor
Smp_062240.1	Putative RNA-binding protein 15B	Cugbp ELAV-like family member 1
Smp_062250.1	Myosin-2 essential light chain	Myosin light chain alkali
Smp_062260.1	Uridine-cytidine kinase 2	Uridine-cytidine kinase 2
Smp_062270.1	Protein lin-52 homolog	DNA-directed RNA polymerase alpha chain
Smp_062300.1	Ras-related C3 botulinum toxin substrate 1	RND3/RHOE small GTP-binding protein
Smp_062420.1	Hsc70-interacting protein	HSC70-interacting protein
Smp_062490.1	DNA-binding protein, putative	DNA-binding protein inhibitor ID-2
Smp_062510.1	Ras-related protein Ral-A	RAS-related protein RAL-A
Smp_062520.1	N-alpha-acetyltransferase 16, NatA auxiliary subunit	N-terminal acetyltransferase A complex subunit Na
Smp_062530.1	Histone-lysine N-methyltransferase KMT5B-A	Histone-lysine N-methyltransferase SUV420H1
Smp_062530.2	Histone-lysine N-methyltransferase KMT5B-B	Histone-lysine N-methyltransferase SUV420H1
Smp_062530.3	Histone-lysine N-methyltransferase KMT5B	SET and MYND domain-containing protein 2
Smp_062550.1	Cysteine-rich hydrophobic domain-containing protein 2	Protein smoothened
Smp_062550.2	Cysteine-rich hydrophobic domain-containing protein 2	Hypothetical protein FLJ21935
Smp_062560.1	Secreted frizzled-related protein 2	Secreted frizzled-related sequence protein 3
Smp_062560.2	Secreted frizzled-related protein 2	Secreted frizzled-related sequence protein 3
Smp_062620.1	Uncharacterized transporter HI_0878	Uncharacterized protein DUF1234
Smp_062630.1	Dynactin subunit 2	Pepnh1
Smp_062630.2	Dynactin subunit 2	NH(3)-dependent NAD(+) synthetase
Smp_062640.1	Hemolysin C homolog	50S ribosomal protein L34
Smp_062680.1	Rab-like protein 6	RAS-related protein RAB-27A
Smp_062680.2	Hypothetical protein	Transcription elongation regulator 1
Smp_062680.3	Rab-like protein 6	Oncogene C-MEL, RAS-related protein RAB-8A
Smp_062790.1	GrpE protein homolog 1, mitochondrial	Protein GRPE, HSP-70 cofactor
Smp_062830.1	Mitochondrial intermembrane space import and assembly protein 40-B	Maltose-binding periplasmic protein, linker, MITO intermembrane space import AND...
Smp_062890.1	V-type proton ATPase 16 kDa proteolipid subunit	V-type sodium ATP synthase subunit K
Smp_062890.2	V-type proton ATPase 16 kDa proteolipid subunit	V-type sodium ATP synthase subunit K
Smp_062900.1	Centromere protein F	Minor nucleoprotein VP30
Smp_062900.2	Peroxiredoxin	Probable peroxiredoxin
Smp_062900.3	Centromere protein F	Minor nucleoprotein VP30
Smp_062950.1	Growth factor receptor-bound protein 2	Growth factor bound protein 2
Smp_062970.1	Cilia- and flagella-associated protein 57	Echinoderm microtubule-associated protein-like 1
Smp_062980.1	CD9 antigen	CD63-like protein SM-TSP-2
Smp_063000.1	smdr1	Cystic fibrosis transmembrane conductance regulat
Smp_063000.2	ATP-binding cassette sub-family B member 8, mitochondrial	Cystic fibrosis transmembrane conductance regulat
Smp_063030.1	Hypothetical protein	DNA binding protein GT-1
Smp_063040.1	Actin-like protein 6A	Actin-related protein 4
Smp_063070.1	Ras-related protein Rab-10	Oncogene C-MEL, RAS-related protein RAB-8A
Smp_063090.1	Probable aconitate hydratase, mitochondrial	Mitochondrial aconitase
Smp_063110.1	Zinc finger MYM-type protein 3	CYP130, cytochrome P450 130
Smp_063120.1	Inosine triphosphate pyrophosphatase	Inosine triphosphate pyrophosphatase
Smp_063180.1	Desumoylating isopeptidase 1	PPPDE peptidase domain-containing protein 2
Smp_063180.2	50S ribosomal protein L3	Ribonuclease 3
Smp_063180.3	Desumoylating isopeptidase 1	PPPDE peptidase domain-containing protein 2
Smp_063190.1	Inhibin/Activin, TGF-beta family, TGF-beta/Activin subfamily	Inhibin beta A chain
Smp_063230.1	Leucine-rich repeat-containing protein 47	Platelet glycoprotein IB alpha chain precursor
Smp_063250.1	Ubiquinol-cytochrome-c reductase complex assembly factor 1	Ribose-phosphate pyrophosphokinase
Smp_063250.2	Ubiquinol-cytochrome-c reductase complex assembly factor 1	MLR3007 protein
Smp_063260.1	WD repeat and FYVE domain-containing protein 1	P40, ARP2/3 complex 41 kDa subunit, P41-ARC
Smp_063260.2	WD repeat and FYVE domain-containing protein 1	P40, ARP2/3 complex 41 kDa subunit, P41-ARC
Smp_063300.1	60S ribosomal protein L36	L39, YL39, 60S ribosomal protein L36-A
Smp_063330.1	Villidin	Uncharacterized protein
Smp_063350.1	60S ribosomal protein L27	60S ribosomal protein L27 (L27E)
Smp_063380.1	Phosphoserine phosphatase	L-3-phosphoserine phosphatase
Smp_063390.1	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Aminoadipate-semialdehyde dehydrogenase- phosphopantetheinyl transferase
Smp_063390.2	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Aminoadipate-semialdehyde dehydrogenase- phosphopantetheinyl transferase
Smp_063390.3	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Aminoadipate-semialdehyde dehydrogenase- phosphopantetheinyl transferase
Smp_063390.4	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Aminoadipate-semialdehyde dehydrogenase- phosphopantetheinyl transferase
Smp_063420.1	T-complex protein 1 subunit epsilon	T-complex protein 1 subunit epsilon
Smp_063500.1	30S ribosomal protein S4, chloroplastic	Polycomb group ring finger protein 4
Smp_063520.1	Pre-B-cell leukemia transcription factor 4	Mating-type protein alpha-2
Smp_063530.1	Ferritin	Ferritin light chain
Smp_063530.2	Ferritin	Ferritin light chain
Smp_063540.1	Coiled-coil domain-containing protein R3HCC1L	Poly(A)-specific ribonuclease
Smp_063540.2	Coiled-coil domain-containing protein R3HCC1L	Poly(A)-specific ribonuclease
Smp_063580.1	N-alpha-acetyltransferase 30	N-terminal acetyltransferase A complex catalytic ARD1
Smp_063630.1	F-box only protein 36	SKP2 F-BOX, cyclin A/CDK2-associated P19
Smp_063630.2	F-box only protein 36	SKP2 F-BOX, cyclin A/CDK2-associated P19
Smp_063640.1	Guanine nucleotide-binding protein subunit beta	GT-beta
Smp_063650.1	Transcription initiation factor IIB	Transcription initiation factor IIB
Smp_063670.1	Protein DDI1 homolog 2	DNA damage-inducible protein DDI1
Smp_063670.2	Protein DDI1 homolog 2	DNA damage-inducible protein DDI1
Smp_063670.3	DNA damage-inducible protein 1	Protein DDI1 homolog 1
Smp_063680.1	Biotin synthase	Protein GLC-1, avermectin-sensitive glutamate-gated chloride CHA alpha
Smp_063830.1	GMP synthase [glutamine-hydrolyzing]	GMP synthase [glutamine-hydrolyzing]
Smp_064010.1	Cyclic AMP-dependent transcription factor ATF-1	Transcription factor CREB
Smp_064020.1	PAB-dependent poly(A)-specific ribonuclease subunit PAN3	PAB-dependent poly(A)-specific ribonuclease subun
Smp_064020.2	PAB-dependent poly(A)-specific ribonuclease subunit PAN3	PAB-dependent poly(A)-specific ribonuclease subun
Smp_064030.1	Uncharacterized protein C6orf106 homolog	HFAF1, FAS-associated factor 1
Smp_064040.1	Serine/threonine-protein kinase PAK 2	Serine/threonine-protein kinase PAK 4
Smp_064050.1	RuvB-like 1	RUVB-like 1
Smp_064150.1	Mitochondrial carnitine/acylcarnitine carrier protein	Mitochondrial uncoupling protein 2
Smp_064240.1	AP-1 complex subunit mu-1	AP-1 complex subunit MU-1
Smp_064250.1	Transcription factor 20	PHD finger protein 6
Smp_064280.1	Coiled-coil domain-containing protein 51	Seryl-tRNA synthetase
Smp_064320.1	26S proteasome non-ATPase regulatory subunit 10	26S proteasome non-ATPase regulatory subunit 10
Smp_064320.2	26S proteasome non-ATPase regulatory subunit 10	Integrin-linked protein kinase
Smp_064330.1	Protein stunted	ATP synthase subunit epsilon, mitochondrial
Smp_064350.1	V-type proton ATPase 21 kDa proteolipid subunit	V-type sodium ATP synthase subunit K
Smp_064360.1	Polymerase delta-interacting protein 3	Eukaryotic translation initiation factor 3 subunit 4
Smp_064380.1	Aspartate aminotransferase, mitochondrial	Aspartate aminotransferase
Smp_064380.2	Aspartate aminotransferase, mitochondrial	Aspartate aminotransferase
Smp_064380.3	Aspartate aminotransferase, mitochondrial	Aspartate aminotransferase
Smp_064380.4	Aspartate aminotransferase, mitochondrial	Aspartate aminotransferase
Smp_064390.1	Protein TSSC4	Uncharacterized protein RP812
Smp_064400.1	Coiled-coil domain-containing protein 174	Ribosomal RNA-processing protein 7
Smp_064430.1	PTS system mannitol-specific EIICB component	LSIII
Smp_064460.1	Silent chromatin protein ESC1	SMP-1, small myristoylated protein 1
Smp_064500.1	Pre-mRNA-splicing factor syf2	Peptidyl prolyl CIS/trans isomerase
Smp_064500.2	Pre-mRNA-splicing factor syf2	Peptidyl prolyl CIS/trans isomerase
Smp_064510.1	RNA-binding protein NOB1	RUH-035 protein, NIN one binding protein
Smp_064520.1	Mitotic spindle-associated MMXD complex subunit MIP18	MIP18 family protein FAM96A
Smp_064590.1	RNA-binding protein 39	RNA-binding protein 39
Smp_064590.2	RNA-binding protein 39	FBP-interacting repressor
Smp_064590.3	RNA-binding protein 39	Nucleolysin TIA-1 isoform P40
Smp_064600.1	Sjoegren syndrome/scleroderma autoantigen 1 homolog	Transcription factor II B (TFIIB)
Smp_064640.1	tRNA selenocysteine 1-associated protein 1	Polyadenylate-binding protein 1
Smp_064650.1	REST corepressor	REST corepressor 3
Smp_064750.1	Pantothenate kinase 4	Unknown protein
Smp_064750.2	Pantothenate kinase 4	Unknown protein
Smp_064800.1	Ribonuclease P protein subunit p25	ALBA, conserved hypothetical protein AF1956
Smp_064860.1	Stress-induced-phosphoprotein 1	Heat shock protein STI1
Smp_064870.1	Cytoplasmic dynein 1 intermediate chain	SIR4-interacting protein SIF2
Smp_064950.1	calcineurin b	Calcineurin subunit B type 1
Smp_065060.1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial
Smp_065060.2	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial
Smp_065120.1	Deoxyhypusine synthase	DHS, deoxyhypusine synthase
Smp_065130.1	GPI ethanolamine phosphate transferase 1	Phosphodiesterase-nucleotide pyrophosphatase
Smp_065130.2	GPI ethanolamine phosphate transferase 1	Phosphodiesterase-nucleotide pyrophosphatase
Smp_065130.3	GPI ethanolamine phosphate transferase 1	Spindle assembly abnormal protein 6
Smp_065130.4	GPI ethanolamine phosphate transferase 1	Spindle assembly abnormal protein 6
Smp_065150.1	N-acetyltransferase ESCO2	Predicted acetyltransferase
Smp_065160.1	Tafazzin	Glycerol-3-phosphate acyltransferase
Smp_065160.2	Tafazzin	Glycerol-3-phosphate acyltransferase
Smp_065170.1	Peptide deformylase 1	RIIA-RIIB membrane-associated protein
Smp_065180.1	EH domain-containing protein 1	EH domain-containing protein 2
Smp_065190.1	Thioredoxin-related transmembrane protein 1	Thioredoxin domain containing protein 1
Smp_065210.1	Hypothetical protein	CVIR transcriptional regulator
Smp_065240.1	Protein O-fucosyltransferase A	Putative GDP-fucose protein O-fucosyltransferase
Smp_065290.1	Calcium/calmodulin-dependent protein kinase type 1	Death-associated protein kinase 2
Smp_065370.1	Alpha-amylase 2	Protein giant-lens
Smp_065370.2	Alpha-amylase 2	Protein giant-lens
Smp_065370.3	Alpha-amylase 2	Protein giant-lens
Smp_065420.1	ATP-dependent RNA helicase dbp7	Human initiation factor 4A-II
Smp_065420.2	Hypothetical protein	Human initiation factor 4A-II
Smp_065470.1	Uncharacterized protein F13E6.1	Coronin-1A
Smp_065470.2	Uncharacterized protein F13E6.1	Coronin-1A
Smp_065530.1	Acrosin	Transmembrane protease, serine 11E
Smp_065580.1	Heterogeneous nuclear ribonucleoprotein K	Poly(RC)-binding protein 2
Smp_065610.1	Pyruvate kinase PKM	Pyruvate kinase isozymes M1/M2
Smp_065770.1	UDP-N-acetylglucosamine transporter	Protein EMRE
Smp_065770.2	UDP-N-acetylglucosamine transporter	Multidrug transporter EMRE
Smp_065770.3	UDP-galactose translocator	Multidrug transporter EMRE
Smp_065810.1	GON-4-like protein	2610100B20RIK gene product
Smp_065840.1	DNA topoisomerase 2-alpha	DNA topoisomerase 2
Smp_065890.1	Toll-interacting protein A	Putative elicitor-responsive gene
Smp_065980.1	Small glutamine-rich tetratricopeptide repeat-containing protein beta	SGTA protein
Smp_066050.1	Protein scalloped	Transcriptional enhancer factor TEF-1
Smp_066200.1	Cytochrome c oxidase subunit 5B, mitochondrial	Cytochrome C oxidase polypeptide IV
Smp_066260.1	Replication factor C subunit 5	Activator 1 40 kDa subunit
Smp_066330.1	StAR-related lipid transfer protein 7, mitochondrial	PC-TP, phosphatidylcholine transfer protein
Smp_066330.2	Spindle-defective protein 2	N-formylglutamate amidohydrolase
Smp_066330.3	Spindle-defective protein 2	N-formylglutamate amidohydrolase
Smp_066340.1	Proteasome inhibitor PI31 subunit	F-box only protein 7
Smp_066410.1	Pyruvate dehydrogenase protein X component, mitochondrial	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase...
Smp_066410.2	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase...
Smp_066430.1	Zinc finger protein AEBP2	Zinc-responsive transcriptional regulator ZAP1
Smp_066480.1	Probable 28S ribosomal protein S16, mitochondrial	MRP-S16, S16MT, 28S ribosomal protein S16, mitochondrial
Smp_066520.1	Erythrocyte band 7 integral membrane protein	PH stomatin
Smp_066590.1	LYR motif-containing protein 4	Cathelicidin-6
Smp_066590.2	LYR motif-containing protein 4	Cathelicidin-6
Smp_066610.1	Protein FAM136A	Peptide inhibitor
Smp_066620.1	Probable 28S ribosomal protein S25, mitochondrial	54S ribosomal protein L51, mitochondrial, 54S ribosomal protein L27, mitochondrial
Smp_066630.1	Eukaryotic peptide chain release factor subunit 1	ERF1, protein (eukaryotic peptide chain release factor subunit 1)
Smp_066670.1	Syntaxin	Syntaxin-1A
Smp_066730.1	INO80 complex subunit C	Hypothetical protein RPA0253
Smp_066740.1	39S ribosomal protein L12, mitochondrial	L12MT, MRP-L12, 39S ribosomal protein L12, mitochondrial
Smp_066760.1	Moesin/ezrin/radixin homolog 1	Moesin
Smp_066820.1	Integrator complex subunit 6-A	Magnesium-chelatase 60 kDa subunit
Smp_066830.1	Protein N-terminal asparagine amidohydrolase	CTSR
Smp_066890.1	40S ribosomal protein S10	40S ribosomal protein S10A
Smp_066900.1	Innexin unc-9	Transient receptor potential cation channel subfa member 1
Smp_066930.1	Transcription factor Sp9	Krueppel-like factor 4
Smp_066940.1	60S ribosomal protein L29	60S ribosomal protein L29 (L29E)
Smp_066950.1	Hsp70-binding protein 1	HSPBP1 protein
Smp_066950.2	Hsp70-binding protein 1	HSPBP1 protein
Smp_066960.1	Geranylgeranyl transferase type-1 subunit beta	Geranyltransferase type-I beta subunit
Smp_066960.2	Geranylgeranyl transferase type-1 subunit beta	Geranyltransferase type-I beta subunit
Smp_066970.1	Oxidoreductase-like domain-containing protein 1	CD7 metallothionein-2A
Smp_066990.1	40S rRNA protein homolog	30S ribosomal protein S10P
Smp_067000.1	Hypothetical protein	Uncharacterized protein
Smp_067000.2	Hypothetical protein	Uncharacterized protein
Smp_067000.3	Hypothetical protein	Uncharacterized protein
Smp_067010.1	RUN domain-containing protein 1	RUN and SH3 domain-containing protein 1
Smp_067010.2	RUN domain-containing protein 1	RUN and SH3 domain-containing protein 1
Smp_067060.1	Cathepsin B1 isotype 2	Cathepsin B-like peptidase (C01 family)
Smp_067090.1	DNA-directed RNA polymerase II subunit RPB9	B12.6, DNA-directed RNA polymerase II 14.2 kDa polypepti
Smp_067090.2	DNA-directed RNA polymerase II subunit RPB9	B12.6, DNA-directed RNA polymerase II 14.2 kDa polypepti
Smp_067140.1	Ras-related protein rab7	RAS-related protein RAB-7
Smp_067250.1	THO complex subunit 5 homolog	RWD domain-containing protein 1
Smp_067250.2	THO complex subunit 5 homolog	RWD domain-containing protein 1
Smp_067260.1	DNA polymerase alpha subunit B	DNA polymerase alpha subunit B
Smp_067280.1	Dynamin-1-like protein	Dynamin-1, human dynamin 1
Smp_067400.1	Reticulon-4-interacting protein 1 homolog, mitochondrial	Reticulon-4-interacting protein 1
Smp_067420.1	Splicing factor 3B subunit 4	FBP-interacting repressor
Smp_067430.1	Oligodendrocyte transcription factor 2	Transcription factor E2-alpha
Smp_067480.1	Sorcin	Programmed cell death protein 6
Smp_067480.2	Sorcin	Programmed cell death protein 6
Smp_067490.1	Sorcin	Programmed cell death protein 6
Smp_067510.1	Clusterin-associated protein 1 homolog	Retinoblastoma-associated protein HEC
Smp_067520.1	Transcription factor AP-1	Proto-oncogene C-JUN
Smp_067520.2	Transcription factor AP-1	G1P, terminase small subunit
Smp_067540.1	Vacuolar protein sorting-associated protein 28 homolog	VPS28, VPS28-PROV protein
Smp_067580.1	Calcium uniporter protein, mitochondrial	Regulatory protein COX
Smp_067590.1	GTPase Der	Alpha1,3-fucosyltransferase
Smp_067780.1	Protein transport protein SFT2	Glycosyl hydrolase family protein
Smp_067810.1	Casein kinase I isoform alpha	Casein kinase I-like
Smp_067890.1	Proteasome subunit alpha type-2	20S proteasome
Smp_067900.1	Hsp90 co-chaperone Cdc37	HSP90 CO-chaperone CDC37
Smp_067930.1	28 kDa heat- and acid-stable phosphoprotein	RIO2 kinase
Smp_068000.1	Ubiquitin-conjugating enzyme E2-17 kDa	Ubiquitin-conjugating enzyme family protein
Smp_068060.1	Serine/threonine-protein kinase TAO3	Serine/threonine protein kinase TAO2
Smp_068070.1	Carbamoyl-phosphate synthase large chain	Putative 5'-methylthioadenosine/S-adenosylhomoCys nucleosidase
Smp_068070.2	Microtubule-associated protein ssm4	Putative 5'-methylthioadenosine/S-adenosylhomoCys nucleosidase
Smp_068100.1	Microfibrillar-associated protein 1	Calcipressin 1
Smp_068110.1	Double-strand break repair protein MRE11	Double-strand break repair protein MRE11A
Smp_068120.1	AH receptor-interacting protein	AH receptor-interacting protein
Smp_068120.2	AH receptor-interacting protein	AH receptor-interacting protein
Smp_068120.3	AH receptor-interacting protein	AH receptor-interacting protein
Smp_068120.4	Aryl-hydrocarbon-interacting protein-like 1	Maurocalcin, MCA
Smp_068170.1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial	[pyruvate dehydrogenase [lipoamide]] kinase isozy
Smp_068220.1	Protein max	MAX protein, MYC proto-oncogene protein
Smp_068240.1	Zinc finger protein SNAI1	Zinc finger protein SNAI1
Smp_068250.1	Protoporphyrinogen oxidase	Protoporphyrinogen oxidase
Smp_068250.2	Protoporphyrinogen oxidase	Protoporphyrinogen oxidase
Smp_068270.1	heat shock transcription factor	Heat-shock transcription factor
Smp_068270.2	heat shock transcription factor	Heat-shock transcription factor
Smp_068280.1	Prolyl 4-hydroxylase subunit alpha-2	Prolyl-4 hydroxylase
Smp_068300.1	E3 ubiquitin-protein ligase rififylin	CARP2, FYVE-ring finger protein sakura
Smp_068300.2	E3 ubiquitin-protein ligase RNF34	CARP2, FYVE-ring finger protein sakura
Smp_068340.1	Multifunctional 2-oxoglutarate metabolism enzyme	40S ribosomal protein S10, putative
Smp_068350.1	Meiosis-specific nuclear structural protein 1	Cytochrome C'
Smp_068420.1	Small nuclear ribonucleoprotein Sm D3	Small nuclear ribonucleoprotein SM D3
Smp_068440.1	vasa-like DEAD-box RNA helicase	ATP-dependent RNA helicase VASA
Smp_068480.1	Vesicle transport through interaction with t-SNAREs homolog 1A	Vesicle transport through interaction with T- snares homolog 1A
Smp_068500.1	Hypothetical protein	Similar to phosphinothricin acetyltransferase
Smp_068510.1	Neuronal calcium sensor 2	Neurocalcin delta
Smp_068530.1	Syntenin-1	Syntenin 1
Smp_068580.1	ER membrane protein complex subunit 6	39 kDa initiator binding protein
Smp_068680.1	Secreted frizzled-related protein 2	Secreted frizzled-related sequence protein 3
Smp_068710.1	26S proteasome non-ATPase regulatory subunit 1	Ephrin type-A receptor 7
Smp_068720.1	Formin Homology 2 Domain containing protein	Protein diaphanous homolog 1
Smp_068750.1	DNA ligase	J-atracotoxin-HV1C
Smp_068750.2	Hypothetical protein	J-atracotoxin-HV1C
Smp_068760.1	28S ribosomal protein S24, mitochondrial	MRP-S24, S24MT, 28S ribosomal protein S24, mitochondrial
Smp_068840.1	Homologous-pairing protein 2 homolog	Homologous-pairing protein 2 homolog
Smp_068840.2	Homologous-pairing protein 2 homolog	Homologous-pairing protein 2 homolog
Smp_068920.1	H/ACA ribonucleoprotein complex subunit 4	H/ACA ribonucleoprotein complex subunit 4
Smp_068920.2	H/ACA ribonucleoprotein complex subunit 4	H/ACA ribonucleoprotein complex subunit 4
Smp_068950.1	Chromatin assembly factor 1 small subunit-like protein	Probable histone-binding protein CAF1
Smp_068950.2	Histone-binding protein RBBP4	Probable histone-binding protein CAF1
Smp_068960.1	Serine/threonine-protein kinase PRP4 homolog	Serine/threonine-protein kinase PRP4 homolog
Smp_068960.2	Serine/threonine-protein kinase PRP4 homolog	Serine/threonine-protein kinase PRP4 homolog
Smp_068990.1	SNF-related serine/threonine-protein kinase	AMPK kdaid, SNF1-like protein kinase SSP2
Smp_069120.1	Synaptotagmin-2	Synaptotagmin-1
Smp_069130.1	Heat shock 70 kDa protein 4L	Heat shock protein homolog SSE1
Smp_069130.2	Heat shock protein 105 kDa	Heat shock protein homolog SSE1
